N,Area_Wide,Area_Narrow
100,0.6805495218,0.9500000191
600,1.0370278427,0.9583333526
1100,0.8484773258,0.9363636552
1600,1.0147479476,0.9500000191
2100,0.8564738879,0.9464285905
2600,0.9348207716,0.9490384806
3100,0.9377157005,0.9520161482
3600,0.8830940223,0.9468750191
4100,0.9888123713,0.9445122141
4600,0.9595325555,0.9423913233
5100,0.9588694942,0.9482843328
5600,0.8819366251,0.9493303762
6100,0.9626508458,0.9354508385
6600,1.0046207226,0.9511363828
7100,0.8927933364,0.9390845259
7600,0.9491874909,0.9529605455
8100,0.9242030542,0.9470679203
8600,0.9326467699,0.9364825770
9100,0.9091799733,0.9484890301
9600,0.9782899375,0.9414062689
10100,0.9712510148,0.9523515043
10600,0.9153482786,0.9465802077
11100,0.9301719332,0.9441441631
11600,0.9470701473,0.9473060535
12100,0.9826588726,0.9418388619
12600,0.9313189034,0.9394841459
13100,0.9447541344,0.9461832251
13600,0.9614906584,0.9490809015
14100,0.9797982476,0.9429964729
14600,0.9022941311,0.9426370053
15100,0.9245686975,0.9395695553
15600,0.9796921687,0.9526442499
16100,0.9408129147,0.9375000189
16600,0.9476154270,0.9388554406
17100,0.9665281429,0.9505848145
17600,0.9213933460,0.9515625192
18100,0.9324656431,0.9379834443
18600,0.9633277793,0.9440188362
19100,0.9747586643,0.9446335269
19600,0.9568367547,0.9417729781
20100,0.9615724586,0.9465174320
20600,0.8943421246,0.9435073005
21100,0.9477930713,0.9399881706
21600,0.9024482746,0.9466435376
22100,0.9299816994,0.9401018289
22600,0.9502742690,0.9446902845
23100,0.9663213989,0.9427489367
23600,0.9491441272,0.9445974766
24100,0.9693897456,0.9492738780
24600,0.9259741751,0.9465955475
25100,0.9148878602,0.9366534053
25600,0.9391735309,0.9424316596
26100,0.9405514737,0.9399425477
26600,0.9455325525,0.9466165604
27100,0.9567873350,0.9464022331
27600,0.9457947546,0.9447916857
28100,0.9407291051,0.9439057129
28600,0.9613356881,0.9467657533
29100,0.9595180297,0.9432560327
29600,0.9557910754,0.9464104920
30100,0.9693066515,0.9489202849
30600,0.9334521452,0.9454657053
31100,0.9034396499,0.9451366750
31600,0.9552921632,0.9437104620
32100,0.9467724989,0.9494159070
32600,0.9346372486,0.9487346817
33100,0.9169942197,0.9467145206
33600,0.9562993918,0.9431175785
34100,0.9380008071,0.9452346231
34600,0.9356853458,0.9458092676
35100,0.9760913776,0.9414530104
35600,0.9432656694,0.9443820415
36100,0.9490528353,0.9447022351
36600,0.9355563683,0.9449112212
37100,0.9457463319,0.9397911240
37600,0.9385998343,0.9452127850
38100,0.9569031521,0.9474409639
38600,0.9367001005,0.9424870656
39100,0.9652514591,0.9430307095
39600,0.9474172455,0.9461490089
40100,0.9419076922,0.9466957797
40600,0.9408441488,0.9463978023
41100,0.9298714529,0.9453467344
41600,0.9408971067,0.9405348747
42100,0.9553557419,0.9451306604
42600,0.9391218250,0.9470364040
43100,0.9257458526,0.9417343577
43600,0.9450094604,0.9481364870
44100,0.9228313243,0.9437641913
44600,0.9314503864,0.9427130235
45100,0.9431118650,0.9460643206
45600,0.9297858598,0.9495888349
46100,0.9435322468,0.9420553335
46600,0.9469694296,0.9441255555
47100,0.9247382037,0.9405520359
47600,0.9338152501,0.9459033804
48100,0.9313846737,0.9458160274
48600,0.9304044167,0.9462191548
49100,0.9599371782,0.9433044996
49600,0.9532005542,0.9425151399
50100,0.9471805577,0.9393962265
50600,0.9301355830,0.9450099004
51100,0.9581345797,0.9422456158
51600,0.9324583564,0.9458575772
52100,0.9462754661,0.9430182531
52600,0.9455978689,0.9472908936
53100,0.9443837593,0.9487759136
53600,0.9830965906,0.9467117728
54100,0.9513676177,0.9462338453
54600,0.9264519000,0.9452610080
55100,0.9418650109,0.9413793293
55600,0.9578752005,0.9440647672
56100,0.9453520859,0.9431595555
56600,0.9263512294,0.9478357081
57100,0.9448009248,0.9423161310
57600,0.9717072413,0.9435330051
58100,0.9415913841,0.9427280740
58600,0.9216120413,0.9473336368
59100,0.9427675391,0.9460237077
59600,0.9412202159,0.9446099183
60100,0.9295073810,0.9486689043
60600,0.9362769941,0.9455652005
61100,0.9362528375,0.9431260419
61600,0.9466456474,0.9488636555
62100,0.9329180125,0.9430958322
62600,0.9242241451,0.9431909136
63100,0.9423230417,0.9481180856
63600,0.9203927831,0.9436124404
64100,0.9497662370,0.9481669458
64600,0.9398566483,0.9452786568
65100,0.9290538896,0.9454109253
65600,0.9468708394,0.9461128239
66100,0.9444150593,0.9483169631
66600,0.9449157131,0.9411036225
67100,0.9543921013,0.9437965913
67600,0.9464700767,0.9473557883
68100,0.9435183112,0.9417951731
68600,0.9593168915,0.9433309228
69100,0.9442149763,0.9443017556
69600,0.9487463776,0.9434626627
70100,0.9503006568,0.9442047266
70600,0.9187831666,0.9450602173
71100,0.9511558114,0.9426687953
71600,0.9559195198,0.9463687341
72100,0.9420089081,0.9427531396
72600,0.9412795333,0.9435606250
73100,0.9617067797,0.9452462571
73600,0.9554376341,0.9456861603
74100,0.9400688883,0.9446862538
74600,0.9435424239,0.9451910378
75100,0.9345419436,0.9473369032
75600,0.9314475030,0.9443617915
76100,0.9470459179,0.9476675618
76600,0.9436564145,0.9445985830
77100,0.9532989410,0.9437256999
77600,0.9172133742,0.9421714107
78100,0.9663628933,0.9455986106
78600,0.9342403740,0.9443543447
79100,0.9543917350,0.9420670228
79600,0.9575571160,0.9432003959
80100,0.9376217328,0.9446941513
80600,0.9461592429,0.9420130463
81100,0.9501559819,0.9474722755
81600,0.9374236060,0.9437500190
82100,0.9581218341,0.9437271810
82600,0.9367854797,0.9434776219
83100,0.9431992856,0.9429452657
83600,0.9423261748,0.9463516937
84100,0.9593817702,0.9465963330
84600,0.9464717766,0.9457594753
85100,0.9589613372,0.9429348016
85600,0.9417751393,0.9419100657
86100,0.9368706458,0.9436556520
86600,0.9650286521,0.9457275017
87100,0.9203101209,0.9437141407
87600,0.9464654797,0.9446347222
88100,0.9394386377,0.9426504162
88600,0.9464268986,0.9423956172
89100,0.9420978950,0.9436868877
89600,0.9542016094,0.9433454431
90100,0.9548410842,0.9462680546
90600,0.9424891910,0.9489790478
91100,0.9369962053,0.9427140695
91600,0.9330491026,0.9446506740
92100,0.9335784040,0.9452768920
92600,0.9433411683,0.9460178376
93100,0.9304428785,0.9430182789
93600,0.9441689794,0.9421207455
94100,0.9651880419,0.9456828033
94600,0.9497067548,0.9434461078
95100,0.9417488650,0.9436777267
95600,0.9440438151,0.9443776341
96100,0.9411553740,0.9415322770
96600,0.9367871855,0.9439052985
97100,0.9557931050,0.9450695350
97600,0.9518927444,0.9479252240
98100,0.9376261869,0.9416666856
98600,0.9527890508,0.9442697959
99100,0.9404278097,0.9453834701
99600,0.9556195952,0.9455697981
